name	rfrac
2019.1hc	0.7
2019.mbf	0.7
2019.h73	0.7
2019.5wc	0.7
2019.bky	0.7
2019.ksh	0.7
2019.5r0	0.7
2019.zzs	0.7
2019.v8o	0.7
2019.cte	0.7
2019.cxf	0.7
2019.rn7	0.7
2019.b9f	0.7
2019.m6t	0.7
2019.9z2	0.7
2019.v94	0.7
2019.zcs	0.7
2019.4kh	0.7
2019.m2i	0.8
2019.b0i	0.6
2019.zxa	0.6
2019.zu1	0.6
2019.m8z	0.6
2019.alk	0.6
2019.axp	0.6
2019.k2f	0.6
2019.p7q	0.6
2019.eti	0.6
2019.ybc	0.6
2019.2lq	0.6
2019.6vb	0.6
2019.fbv	0.6
2019.986	0.6
2019.ltg	0.6
2019.jj4	0.6
2019.y94	0.6
2019.6k4	0.6
2019.jru	0.6
2019.h2p	0.6
2019.233	0.8
2019.cf2	0.8
2019.brs	0.8
2019.9q3	0.8
2019.4i5	0.8
2019.8ai	0.8
2019.d7i	0.8
2019.plb	0.8
2019.ym6	0.8
2019.t6v	0.8
2019.f1j	0.8
2019.5qo	0.8
2019.hw4	0.8
2019.rla	0.8
2019.va7	0.8
2019.neo	0.8
2019.2en	0.8
2019.tsk	0.8
2019.wkw	0.8
2019.2zd	0.8
2019.vu0	0.8
2019.z4m	0.8
2019.2n7	0.7
2019.qze	0.7
2019.m61	0.7
2019.le5	0.7
2019.77j	0.7
2019.ufh	0.7
2019.9k9	0.7
2019.433	0.7
2019.0dq	0.7
2019.z0p	0.7
2019.nlc	0.7
2019.4r4	0.7
2019.i4s	0.7
2019.0tp	0.7
2019.kn7	0.7
2019.7z5	0.7
2019.35f	0.7
2019.vc3	0.7
2019.s71	0.7
2019.rqq	0.7
2019.ltd	0.8
2019.ijd	0.6
2019.fil	0.6
2019.fqs	0.6
2019.ahb	0.6
2019.paz	0.6
2019.mcb	0.6
2019.esh	0.6
2019.gda	0.6
2019.w54	0.6
2019.qgt	0.6
2019.2rd	0.6
2019.gb9	0.6
2019.m2k	0.6
2019.lqv	0.6
2019.uet	0.6
2019.ahe	0.6
2019.rya	0.6
2019.ghm	0.6
2019.7s6	0.6
2019.ukj	0.6
2019.f9j	0.6
2019.5pn	0.8
2019.t1s	0.8
2019.jnl	0.8
2019.d60	0.8
2019.tv9	0.8
2019.oar	0.8
2019.f5t	0.8
2019.2oo	0.8
2019.2eh	0.8
2019.73m	0.8
2019.7dq	0.8
2019.n3d	0.8
2019.cb8	0.8
2019.jqf	0.8
2019.pfw	0.8
2019.pf8	0.8
2019.72f	0.8
2019.5c8	0.8
2019.zlm	0.8
2019.3fa	0.8
2019.rcx	0.8
2019.0n3	0.8
2019.4qo	0.7
2019.mip	0.7
2019.6qn	0.7
2019.52x	0.7
2019.31k	0.7
2019.acu	0.7
2019.qoj	0.7
2019.lx3	0.7
2019.fqr	0.7
2019.s9w	0.7
2019.vb3	0.7
2019.5xk	0.7
2019.bdp	0.7
2019.qnk	0.7
2019.j8h	0.7
2019.3gr	0.7
2019.rqg	0.7
2019.5mf	0.7
2019.59e	0.7
2019.7g2	0.7
2019.a81	0.7
2019.k5y	0.7
2019.uk9	0.8
2019.9ka	0.6
2019.hqe	0.6
2019.ckf	0.6
2019.vpc	0.6
2019.asf	0.6
2019.kra	0.6
2019.tbd	0.6
2019.nl3	0.6
2019.p7d	0.6
2019.9tn	0.6
2019.unq	0.6
2019.30y	0.6
2019.u24	0.6
2019.qfb	0.6
2019.kwd	0.6
2019.bgj	0.6
2019.yzm	0.6
2019.xoq	0.6
2019.jvm	0.6
2019.sny	0.6
2019.bg6	0.6
2019.be0	0.8
2019.eq8	0.8
2019.j8f	0.8
2019.4c8	0.8
2019.qxk	0.8
2019.6px	0.8
2019.0qw	0.8
2019.0vy	0.8
2019.m05	0.8
2019.bdj	0.8
2019.jm6	0.8
2019.r0a	0.8
2019.oy9	0.8
2019.i2y	0.8
2019.hlm	0.8
2019.nc7	0.8
2019.e2b	0.8
2019.cxx	0.8
2019.o3z	0.8
2019.efh	0.8
2019.7s2	0.8
2019.0v0	0.7
2019.bpr	0.7
2019.zze	0.7
2019.40o	0.7
2019.7hu	0.7
2019.ebf	0.7
2019.lbo	0.7
2019.bhg	0.7
2019.261	0.7
2019.5v8	0.7
2019.him	0.7
2019.k27	0.7
2019.dsz	0.7
2019.2fg	0.7
2019.1k9	0.7
2019.kfs	0.7
2019.ffn	0.7
2019.h3n	0.7
2019.n0u	0.7
2019.ybl	0.7
2019.0ji	0.7
2019.648	0.7
2019.iz4	0.8
2019.q9b	0.6
2019.h9o	0.6
2019.03s	0.6
2019.n1i	0.6
2019.efm	0.6
2019.y8h	0.6
2019.djo	0.6
2019.vhx	0.6
2019.gpp	0.6
2019.qwo	0.6
2019.qrv	0.6
2019.srv	0.6
2019.63d	0.6
2019.hbs	0.6
2019.fn6	0.6
2019.van	0.6
2019.qif	0.6
2019.kns	0.6
2019.poh	0.6
2019.8x4	0.6
2019.fo7	0.6
2019.kwp	0.8
2019.2bm	0.8
2019.8we	0.8
2019.p91	0.8
2019.oc4	0.8
2019.2zc	0.8
2019.y20	0.8
2019.jsc	0.8
2019.i9w	0.8
2019.1y8	0.8
2019.ht0	0.8
2019.fuh	0.8
2019.eut	0.8
2019.kt5	0.8
2019.ajd	0.8
2019.pyq	0.8
2019.p10	0.8
2019.9x7	0.8
2019.mqg	0.8
2019.grg	0.8
2019.sg3	0.8
2019.f18	0.8
2019.ejz	0.7
2019.fr8	0.7
2019.nea	0.7
2019.898	0.7
2019.sx6	0.7
2019.sng	0.7
2019.6n5	0.7
2019.ir0	0.7
2019.p8o	0.7
2019.cum	0.7
2019.md6	0.7
2019.0xk	0.7
2019.sgv	0.7
2019.z58	0.7
2019.nkl	0.7
2019.zmt	0.7
2019.olt	0.7
2019.n7i	0.7
2019.p6j	0.7
2019.y36	0.7
2019.o17	0.7
2019.yju	0.8
2019.l9a	0.6
2019.l33	0.6
2019.rih	0.6
2019.tv2	0.6
2019.vam	0.6
2019.sgp	0.6
2019.jab	0.6
2019.feb	0.6
2019.eda	0.6
2019.5t9	0.6
2019.zal	0.6
2019.t6d	0.6
2019.ebn	0.6
2019.87m	0.6
2019.sdc	0.6
2019.j0y	0.6
2019.bai	0.6
2019.s7d	0.6
2019.fap	0.6
2019.xxn	0.6
2019.96i	0.6
2019.48h	0.8
2019.a6o	0.8
2019.7em	0.8
2019.s9l	0.8
2019.e7l	0.8
2019.cdo	0.8
2019.ny0	0.8
2019.863	0.8
2019.lwn	0.8
2019.782	0.8
2019.yop	0.8
2019.04j	0.8
2019.ng6	0.8
2019.k98	0.8
2019.wuf	0.8
2019.w0e	0.8
2019.6rc	0.8
2019.xcn	0.8
2019.zji	0.8
2019.vnm	0.8
2019.671	0.8
2019.hx6	0.8
2019.nuw	0.8
2019.8ld	0.7
2019.4qu	0.7
2019.5zk	0.7
2019.6cj	0.7
2019.pqv	0.7
2019.g2b	0.7
2019.3g0	0.7
2019.2ie	0.7
2019.420	0.7
2019.f1t	0.7
2019.448	0.7
2019.elr	0.7
2019.5zq	0.7
2019.y8t	0.7
2019.2e2	0.7
2019.3aj	0.7
2019.xtp	0.7
2019.lw3	0.8
2019.zdu	0.6
2019.pg5	0.6
2019.moz	0.6
2019.20x	0.6
2019.z8n	0.6
2019.937	0.6
2019.xnn	0.6
2019.wtl	0.6
2019.pak	0.6
2019.r2o	0.6
2019.dbg	0.6
2019.a19	0.6
2019.mto	0.6
2019.9eq	0.6
2019.y2k	0.6
2019.mb3	0.6
2019.546	0.6
2019.pzm	0.8
2019.tba	0.8
2019.bk7	0.8
2019.wu0	0.8
2019.duw	0.8
2019.5yt	0.8
2019.d9k	0.8
2019.byh	0.8
2019.6hz	0.8
2019.ivb	0.8
2019.x24	0.8
2019.wqz	0.8
2019.nyr	0.8
2019.rzd	0.8
2019.c2w	0.8
2019.tzz	0.8
2019.w36	0.8
