	Rn	Rp	Rtotal	Tc_average	Tc_cooling	Tc_warming	bias_freq	physical_name
0136.1.1.3368	1.3368005585399487	0.2870032527901448	1.6238038113300937	0.4454284115516907	0.4371734920440993	0.45368333105928216	3368759.1599300504	92.150.x
0136.1.1.3440	1.6282983568028264	0.34867273603746696	1.9769710928402935	0.44344059350889714	0.4351298448006915	0.4517513422171028	3439025.883562863	92.150.y
0136.1.1.3496	1.3405968672174284	0.26279909852901523	1.6033959657464436	0.440339526367814	0.43202994581748655	0.4486491069181414	3496017.4607113004	95.150.y
0136.1.1.3544	1.350721145484203	0.2945642838870566	1.6452854293712595	0.4413348319024244	0.4330215349233512	0.4496481288814976	3543624.8825863004	95.150.x
0136.1.1.3796	1.2745412592169196	0.19668868148394433	1.471229940700864	0.43889198884537095	0.4305899781500244	0.4471939995407174	3796844.487078488	135.220.x
0136.1.1.3858	1.359178531146685	0.1995443455109085	1.5587228766575936	0.42950791485331047	0.4212062365320719	0.43780959317454904	3858566.2888363004	135.220.y
0136.1.1.3936	1.2900331309394384	0.18670170587728419	1.4767348368167226	0.4435730535205471	0.4352975661185283	0.4518485409225659	3936462.407000363	109.220.y
0136.1.1.4002	1.2943720905830953	0.1765872856472116	1.470959376230307	0.43457499639853736	0.42615985779234933	0.44299013500472545	4002456.6696956754	109.220.x
0136.1.1.4070	1.287650195316563	0.1821782578281882	1.4698284531447514	0.4408514325920968	0.43259128055251495	0.44911158463167866	4070739.750750363	95.220.x
0136.1.1.4208	1.1327011667943943	0.10356112879533692	1.236262295589731	0.438908952413958	0.4305899781500244	0.4472279266778915	4207763.676531613	131.220.y
0136.1.1.4268	1.9010574519655243	0.17542459615885966	2.076482048124384	0.44095462794505014	0.43263971103054466	0.44926954485955556	4268646.244890988	131.220.x
0136.1.1.4356	1.2248148032101842	0.12184263323220675	1.3466574364423909	0.43970422397585956	0.4313762687266056	0.4480321792251135	4356613.1638363	112.220.x
0136.1.1.4434	1.2317369766537392	0.10789587515165049	1.3396328518053897	0.44128147957798247	0.4329685349064505	0.4495944242495145	4434051.518328488	112.220.y
0136.1.1.4572	1.1029659509379823	0.11558051920815567	1.218546470146138	0.4410925007893338	0.4327630881346991	0.4494219134439686	4571762.08961755	111.220.x
0136.1.1.4654	1.8610126298071992	0.1226347394537861	1.9836473692609853	0.4400969414915028	0.43175380183799633	0.4484400811450093	4653930.668719113	133.220.x
0136.1.1.4736	1.7740495354786998	0.10717476602079033	1.88122430149949	0.4400922888228225	0.4317343361940999	0.448450241451545	4736328.129656613	133.220.y
0136.1.1.4816	1.9361041676813737	0.1131643795071396	2.0492685471885133	0.44378173362014783	0.435524171573725	0.45203929566657064	4816284.184344113	110.220.y
0136.1.1.4904	1.857944249048999	0.10031698787589338	1.9582612369248924	0.4422126897303975	0.43394495449066106	0.450480424970134	4904174.809344113	110.220.x
0136.1.1.4988	1.395868280703049	0.21651110175216903	1.612379382455218	0.440225781734225	0.4318468561148521	0.44860470735359786	4987487.797625363	113.220.x
0136.1.1.5074	1.6017280741439965	0.16744801274486024	1.7691760868888569	0.4411495398463079	0.4328938241020843	0.44940525559053146	5073547.367937863	113.220.y
0136.1.1.5246	2.206333195851169	0.22872926066114346	2.4350624565123122	0.44398023006138904	0.43569475235751653	0.45226570776526154	5245742.802508175	92.220.x
0136.1.2.1768	1.3317920366210585	0.30865120819585296	1.6404432448169115	0.4357212010905406	0.42731041846628237	0.44413198371479884	1767349.2478206754	98.90.y
0136.1.2.1800	-0.0028201636351605774	1.7885955669096256	1.785775403274465	0.5504196435574684	0.5506293545106615	0.5502099326042753	1799240.1169613004	98.90.x
0136.1.2.1872	1.3476037684473625	0.34445831934103954	1.692062087788402	0.4382068725016164	0.4298607380765347	0.4465530069266981	1871109.0134456754	80.90.y
0136.1.2.1908	1.2935722863518813	0.31287548847114083	1.6064477748230221	0.43821428809632657	0.4298189477923273	0.44660962840032586	1907958.9890316129	62.90.y
0136.1.2.1940	1.313691111117221	0.32352372097212595	1.637214832089347	0.4383493874812192	0.42995891665908914	0.44673985830334934	1939315.8005550504	62.90.x
0136.1.2.1960	1.4295833086720846	0.33366301517170943	1.763246323843794	0.44086235405176344	0.43258734840994606	0.4491373596935808	1959686.2839534879	34.90.x
0136.1.2.1996	1.5262834911765475	0.38158424170702987	1.9078677328835774	0.4412824424520787	0.43296924375826934	0.4495956411458881	1995239.2624691129	34.90.y
0136.1.2.2028	1.3880516263887854	0.33056909702752574	1.7186207234163111	0.44095649429607786	0.43263971103054466	0.44927327756161106	2027206.4255550504	47.90.y
0136.1.2.2072	1.4454682868384163	0.42047185936975023	1.8659401462081666	0.42413719718184495	0.4159960850168378	0.43227830934685213	2072067.2653988004	47.90.x
0136.1.2.2088	1.494411937596103	0.3530113642795633	1.8474233018756663	0.4402224410678113	0.4319390132509824	0.44850586888464017	2087478.6423519254	35.90.x
