	Rn	Rp	Rtotal	Tc_average	Tc_cooling	Tc_warming	bias_freq	physical_name
0135.1.3.2124	1.3480905001153518	0.315677730559683	1.6637682306750348	0.43450486974509217	0.4257354579565842	0.44327428153360016	2123184.2087581754	171.90.x
0135.1.3.2164	1.3698460458146422	0.3382725618908941	1.7081186077055364	0.4381034025465118	0.42936211209764075	0.4468446929953828	2163314.8239925504	230.90.x
0135.1.3.2192	1.5042040954932618	0.37557766861664343	1.8797817641099053	0.43717472875374647	0.42852737949424125	0.4458220780132517	2191848.7595394254	230.90.y
0135.1.3.2220	1.4624699977725848	0.36926446810342034	1.831734465876005	0.44055473826687164	0.43196125650250217	0.44914822003124105	2219314.5798519254	263.90.y
0135.1.3.2276	1.342471316484914	0.3629991010917146	1.7054704175766287	0.43999166678006296	0.4313790854474959	0.44860424811262994	2275772.0993831754	263.90.x
0135.1.3.2288	1.532420925242251	0.39128023267614076	1.9237011579183918	0.4376298687722971	0.4289516635671866	0.44630807397740757	2288436.8943050504	202.90.y
0135.1.3.2388	1.3134369046456076	0.3591854496223798	1.6726223542679874	0.4386321845978675	0.4299668899206874	0.44729747927504765	2387390.141375363	229.90.y
0135.1.3.2422	-0.013417290436034568	1.9155822609432156	1.902164970507181	0.5204567232292874	0.5207034374693364	0.5202100089892383	2422256.4743831754	229.90.x
0135.1.3.2554	1.2390495941324549	0.31568374020064716	1.554733334333102	0.4401435995443038	0.43146013377397924	0.44882706531462835	2553253.178484738	217.150.x
0135.1.3.2588	1.433871622887227	0.38068014830998737	1.8145517711972143	0.4416474937217462	0.43300724898351933	0.4502877384599731	2588806.157000363	242.150.x
0135.1.3.2644	1.1772464670689748	0.3053278114209287	1.4825742784899034	0.4424751457185088	0.433856665518519	0.45109362591849866	2643585.209734738	242.150.y
0135.1.3.2684	1.2920241009703173	0.4119495246547112	1.7039736256250284	0.4424845435725492	0.43391467708756437	0.45105441005753394	2684402.4704769254	263.150.y
0135.1.3.2708	1.5283757145027093	0.3898725888643167	1.918248303367026	0.44237099957102555	0.4338096240200784	0.4509323751219727	2707672.123797238	263.150.x
0135.1.3.2770	1.24949541569472	0.3142261111162083	1.5637215268109284	0.43776317262953535	0.42898557511616353	0.4465407701429072	2769851.6892269254	171.150.x
0135.1.3.2832	1.2160318670226768	0.3279958765392419	1.5440277435619187	0.4221347600530082	0.41350804492937243	0.430761475176644	2831268.315203488	171.150.y
0135.1.3.2856	1.2698407373696594	0.3467323692239645	1.616573106593624	0.4425620875621002	0.4339913442272838	0.4511328308969166	2855911.2595394254	229.150.y
0135.1.3.2954	1.1522555187703696	0.2901725548452423	1.4424280736156119	0.44196026626666485	0.4333760793407837	0.45054445319254594	2954559.330828488	264.150.x
0135.1.3.3014	1.1463846706762246	0.2860981342897849	1.4324828049660097	0.4411387386915445	0.43251713384921214	0.4497603435338769	3013229.3747738004	264.150.y
0135.1.3.3070	1.332460373320769	0.34253959016488067	1.6749999634856496	0.44168722822867146	0.4331016272147963	0.4502728292425466	3069839.4821956754	230.150.y
0135.1.3.3110	1.4689950517801063	0.3541430162310653	1.8231380680111715	0.4409593451122307	0.4322696813602853	0.44964900886417614	3109054.5700863004	230.150.x
0135.1.3.3208	1.3002288356342593	0.32460457016604466	1.624833405800304	0.44144230900845727	0.43283465867419224	0.4500499593427223	3208007.817156613	253.150.y
0135.1.3.3272	1.1872781224497144	0.2687800841552639	1.4560582066049783	0.4362166137092368	0.4274917216994254	0.44494150571904817	3271255.4978206754	172.150.y
0135.1.3.3332	1.059630121852766	0.5742487010616524	1.6338788229144183	0.41697241548778297	0.40862236649203076	0.4253224644835352	3332901.0056331754	172.150.x
0135.1.3.3380	1.1188128167247056	0.24976946151130708	1.3685822782360126	0.43929081113642154	0.43064184052269816	0.447939781750145	3379440.3122738004	202.150.x
0135.1.3.3450	1.363091781905354	0.2954883758451425	1.6585801577504966	0.43870581888152776	0.4300337366249399	0.44737790113811565	3449096.684344113	202.150.y
0135.1.3.3510	0.9882604229112879	0.3054593102064355	1.2937197331177235	0.42244682055342725	0.41443994324545486	0.43045369786139964	3509826.664812863	252.150.y
0135.1.3.3558	1.100575433816232	0.23228344763547326	1.3328588814517053	0.4422021432045751	0.4335887777876728	0.45081550862147746	3557434.086687863	252.150.x
0135.1.3.3682	1.0770094883332912	0.20439413868132608	1.2814036270146174	0.44268767920975266	0.4340734726997937	0.45130188571971164	3681259.1599300504	264.220.y
0135.1.3.3746	1.0673441392356766	0.1955931703814898	1.2629373096171663	0.44165836238310474	0.433043953535055	0.45027277123115456	3746337.895281613	264.220.x
0135.1.3.3806	1.0125892664867513	0.16789797733077033	1.1804872438175216	0.4415003327774092	0.43285967788357976	0.4501409876712386	3806152.348406613	242.220.x
0135.1.3.3868	1.0536070717984962	0.16746936832014422	1.2210764401186405	0.440952721302083	0.4322696813602853	0.4496357612438807	3867263.7986019254	242.220.y
0135.1.3.3946	1.0040990190793426	0.17526084963321364	1.1793598687125562	0.44179980057695795	0.4331370721543569	0.450462528999559	3946685.795672238	253.220.y
